DESCRIÇÃO,PREÇO,LINK
Console Sony PlayStation 5 Digital Slim 1TB – Branco + Jogos Returnal e Ratchet & Clank + Controle Sem Fio DualSense Branco,379,https://www.mercadolivre.com.br/console-sony-playstation-5-digital-slim-1tb-branco-jogos-returnal-e-ratchet-clank-controle-sem-fio-dualsense-branco/p/MLB37494438#polycard_client=search-nordic&search_layout=grid&position=10&type=product&tracking_id=140f174e-1940-4074-a6f3-747bd64035dc&wid=MLB4998331528&sid=search
Sony PlayStation 5 825GB Marvel’s Spider Man 2 Limited Edition Mídia Física,384,https://www.mercadolivre.com.br/sony-playstation-5-825gb-marvels-spider-man-2-limited-edition-midia-fisica/p/MLB26081587#polycard_client=search-nordic&search_layout=grid&position=19&type=product&tracking_id=140f174e-1940-4074-a6f3-747bd64035dc&wid=MLB4176841851&sid=search
Console Playstation 5 Slim 1tb Mídia Física Bundle Com Nf-e Branco,384,https://www.mercadolivre.com.br/console-playstation-5-slim-1tb-midia-fisica-bundle-com-nfe/up/MLBU1747293679#polycard_client=search-nordic&search_layout=grid&position=37&type=product&tracking_id=140f174e-1940-4074-a6f3-747bd64035dc&wid=MLB4595700214&sid=search
Console Sony Playstation 5 Slim Digital 1 Tera Novo Lacrado + Ea Fc Fifa 25 + God Raganarok + Gta 5 + Mkt 11 + Resident Evil 4 + Red Dead 2 + Gt7,393,https://www.mercadolivre.com.br/console-sony-playstation-5-slim-digital-1-tera-novo-lacrado--ea-fc-fifa-25--god-raganarok--gta-5--mkt-11--resident-evil-4--red-dead-2--gt7/up/MLBU3368128739#polycard_client=search-nordic&search_layout=grid&position=41&type=product&tracking_id=140f174e-1940-4074-a6f3-747bd64035dc&wid=MLB4168052749&sid=search
Console Playstation® 5 Slim Edição Digital 1tb Branco - Sony Branco,425,https://www.mercadolivre.com.br/console-playstation-5-slim-edicao-digital-1tb-branco--sony/up/MLBU3140092787#polycard_client=search-nordic&search_layout=grid&position=28&type=product&tracking_id=140f174e-1940-4074-a6f3-747bd64035dc&wid=MLB4042064699&sid=search
Console Playstation 5 Slim Fisico -2 Controles Ps5 Nacional Branco,442,https://www.mercadolivre.com.br/console-playstation-5-slim-fisico-2-controles-ps5-nacional/up/MLBU1473699682#polycard_client=search-nordic&search_layout=grid&position=45&type=product&tracking_id=140f174e-1940-4074-a6f3-747bd64035dc&wid=MLB4580422794&sid=search
Sony PlayStation 5 Pro CFI-7020 2TB Digital cor branco 2024,581,https://www.mercadolivre.com.br/sony-playstation-5-pro-cfi-7020-2tb-digital-cor-branco-2024/p/MLB41975964#polycard_client=search-nordic&search_layout=grid&position=5&type=product&tracking_id=140f174e-1940-4074-a6f3-747bd64035dc&wid=MLB5259547698&sid=search
Console Playstation 5 + Spider Man 2,581,https://www.mercadolivre.com.br/console-playstation-5-spider-man-2/p/MLB45498734#polycard_client=search-nordic&search_layout=grid&position=13&type=product&tracking_id=140f174e-1940-4074-a6f3-747bd64035dc&wid=MLB5598370310&sid=search
Sony Ps5 Slim Digital Edição Limitada 30 Anos - Playstation 5 Slim Digital Edição 30 Anos A Pronta Entrega Cinza,653,https://www.mercadolivre.com.br/sony-ps5-slim-digital-edicao-limitada-30-anos--playstation-5-slim-digital-edicao-30-anos-a-pronta-entrega/up/MLBU2670901506#polycard_client=search-nordic&search_layout=grid&position=21&type=product&tracking_id=140f174e-1940-4074-a6f3-747bd64035dc&wid=MLB3895714725&sid=search
Sony Playstation 5 Pro Cfi-7014 2tb Digital Cor Branco 2024,3.889,https://www.mercadolivre.com.br/sony-playstation-5-pro-cfi7014-2tb-digital-cor-branco-2024/up/MLBU3453894248#polycard_client=search-nordic&search_layout=grid&position=25&type=product&tracking_id=140f174e-1940-4074-a6f3-747bd64035dc&wid=MLB4226349579&sid=search
Console PlayStation® 5 Slim Edição Digital 1TB Branco - Sony,3.950,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=2W5dOnE%2FtX3MLYawohTDlroc10KnqLL4uTkceK1V9W6UUTEBNBQugC4P3s4MoNwIcR2fTy%2BrcHw9AjbLNRKXxUhYrWSWavSJs0Hrkqa5Rf06uQP79xlD0QXEcnCS1a76c5IEQx7dfKhhQA0Uwu2eETG%2B4jsFGEG1y0W1XC9eU8p%2BCxN94xivmbnXRl01BloGcAQYx1JVMoXjHPk9iUv3qwFElqGFJlWTFKHUAh67ZfYvr6n8AAgAPqEf6wAMcNCGkiUcMsNwsM7cphiXSHV0%2BkVcntS3XxDnhHyhxZXA6Ij60H4q8Y87MRke3Yz7f5Ph89efs2OXlGlbjcCZ4TS9%2F4Y%2FFPs4eHllLI89Ez4divmRfupMxEbbFUcLZngraDhSPlcns%2BNgSoj81mv%2FRix7pgG5jiYnZzbmvzw4aZjqFymLAJFAXMd9KLPLKBPPqDtyRF8ttLqRkNjgCs8%2B9c9VdRi1rf1aI0LfnIVMRmaTYGtuLZfcyU3de19pq%2F8F%2FBtOmIP25QWVcMAmwI0A1FD%2FSKBCLA%2Bgh4IAhq0zXTe%2FXCTIZfvXw78RAss5DwTbNMVB0HIcN2y5hNZ4PM4pd9hyF2lniilCrfR%2FaPhTe9QkddlshpDVbaV2MwziXvCTWAZfgS9jGaxy2j6dZ45W6v0AK25jYsDfGGsA9tIb24fERJoYFQJg42V%2Brr6CaRxjgU67fg%2BcJZHVd%2Fb302BJ7d%2FzlX%2FJpPiLgFlXwD%2BpfdO76sBjEvG9zcBz0B8bDbwEtdCskErslB55zrNiOi%2F%2BradUZ66ofc68I%2BwFU6QqGB4rhbosCCOlaY6v8UXDGnxSaUr8uTjqSeW4OsDmpZ99Bmaeie71IYODl8PZcGLKtQtfJj129yBtBgAU2cNRzb%2BlLB7RI9CXFSiGyENvzXyjI66ZIy4eC36tg83EAJX5Pzc8%2BtP0z93TXb%2FzU3Q2EA%3D%3D#polycard_client=search-nordic&is_advertising=true&searchVariation=MLB29001054&backend_model=search-backend&search_layout=grid&position=1&type=pad&tracking_id=140f174e-1940-4074-a6f3-747bd64035dc&wid=MLB3606139177&sid=search
Sony PlayStation 5 Slim 1TB Standard cor branco,3.950,https://www.mercadolivre.com.br/sony-playstation-5-slim-1tb-standard-cor-branco/p/MLB28616777#polycard_client=search-nordic&search_layout=grid&position=9&type=product&tracking_id=140f174e-1940-4074-a6f3-747bd64035dc&wid=MLB4169438927&sid=search
PlayStation 5 Slim Cor Branco 1 TB Versão Mídia Física,3.999,https://www.mercadolivre.com.br/playstation-5-slim-cor-branco-1-tb-verso-midia-fisica/p/MLB31067313#polycard_client=search-nordic&search_layout=grid&position=18&type=product&tracking_id=140f174e-1940-4074-a6f3-747bd64035dc&wid=MLB5537795548&sid=search
Playstation 5 Pro Playstation 5 Pro Sony 2025+nfe Branco,3.999,https://www.mercadolivre.com.br/playstation-5-pro-playstation-5-pro-sony-2025nfe/up/MLBU3381471996#polycard_client=search-nordic&search_layout=grid&position=36&type=product&tracking_id=140f174e-1940-4074-a6f3-747bd64035dc&wid=MLB4172444491&sid=search
